R,G,B,class
168.29711584300017,166.91663356109964,147.62223899570952,melon
148.12045432098765,129.73070617283952,84.09564444444445,melon
167.78494814814815,185.99334320987654,154.65552592592593,melon
196.76813440860215,141.60835752688172,129.94942204301074,melon
197.14062030527012,180.7288211345472,164.1125157742924,melon
201.3431324341315,178.40347688611425,150.45888547936337,melon
183.684125027654,166.23799079253712,158.60052252878648,melon
196.47086021505376,141.29916666666668,129.6099059139785,melon
199.08232142857142,173.7173015873016,156.2073611111111,melon
148.12045432098765,129.73070617283952,84.09564444444445,melon
201.55523120110044,178.40324036324932,150.45871119935765,melon
189.8235992402659,166.8488247863248,138.5747269705603,melon
191.58778156725887,189.28729774746193,163.04090656725887,melon
217.5800510901206,207.0518030060001,196.40848333630368,melon
183.69758646481884,166.24613844905872,158.61590341645334,melon
166.0028049382716,170.96462222222223,143.59648395061728,melon
165.8051543252595,171.06257162629757,143.5887723183391,melon
165.78107128027682,171.0996152249135,143.58669619377162,melon
197.16122829156902,180.73294498527733,164.08541779340183,melon
216.19540983606558,224.07183308494783,198.71644311972182,melon
232.69082632360218,232.24817417120238,170.5284512617516,lemon
243.80802228162995,229.53404324336418,197.4804532387781,lemon
227.15680079483357,211.09931445603576,143.47723795330353,lemon
242.30119402985073,217.1075024875622,148.8755223880597,lemon
247.78205555555556,240.56341111111112,201.00735555555556,lemon
251.5785775047259,233.00014650283555,168.1704584120983,lemon
233.148304,226.419736,175.463576,lemon
249.34074722222223,219.08745555555555,163.4146027777778,lemon
245.9055208415724,231.56297951435576,192.325417226924,lemon
239.03539722222223,221.49411944444444,166.02510555555557,lemon
238.90226907271753,231.6488793599746,171.97953268616124,lemon
248.17161814220637,227.86779560308972,156.13703703703703,lemon
239.01060833333332,221.4961722222222,166.01647777777777,lemon
238.33206913580247,229.35723456790123,183.00574814814814,lemon
249.66221666666667,219.0848138888889,163.40175555555555,lemon
110.10658718330849,135.74217585692995,44.469428713363136,lemon
247.7038777777778,240.56735555555557,200.97975555555556,lemon
240.57896296296298,220.28397037037038,163.49147654320987,lemon
230.43756954379273,228.02624781433795,165.2374423780003,lemon
240.6786972222222,220.3729013888889,163.52430902777778,lemon
240.67860972222223,220.36688541666666,163.53539791666665,lemon
239.69084947839048,220.85857923497267,159.57828117237952,lemon
